N,P,K,temperature,humidity,ph,rainfall,Area,Season,Production,label
81,45,35,26.52872817,80.12267476,6.158376967,218.9163567,9718,Kharif     ,27033,rice
78,40,38,26.46428311,83.85642678,7.549873681,248.2256491,81,Whole Year ,33,rice
60,51,36,22.69657794,82.81088865,6.028321558,256.9964761,7015,Whole Year ,25250000,rice
88,46,42,22.68319059,83.46358271,6.604993475,194.2651719,344,Whole Year ,1124,rice
93,47,37,21.53346343,82.14004101,6.500343222,295.9248796,81,Whole Year ,2379,rice
60,55,45,21.40865769,83.3293191,5.935745417,287.5766935,100,Whole Year ,5,rice
78,35,44,26.54348085,84.67353597,7.072655622,183.6222657,6854.3,Kharif     ,18995.62,rice
65,37,40,23.35905428,83.59512273,5.333322606,188.413665,1160,Whole Year ,3011.7,rice
71,54,16,22.61359953,63.69070564,5.749914421,87.75953857,957.57,Whole Year ,8582,maize
61,44,17,26.10018422,71.57476937,6.931756558,102.2662445,175,Whole Year ,191.14,maize
80,43,16,23.55882094,71.59351368,6.657964753,66.71995467,40.5,Whole Year ,44,maize
73,58,21,19.97215954,57.68272924,6.596060648,60.65171481,3575,Whole Year ,15400000,maize
61,38,20,18.47891261,62.69503871,5.970458434,65.43835393,235.72,Whole Year ,824.3,maize
68,41,16,21.77689322,57.80840636,6.158830619,102.0861694,98.66,Whole Year ,929,maize
93,41,17,25.6217169,66.50415474,6.047906679,105.4654703,35.62,Whole Year ,21.4,maize
89,60,19,25.19192419,66.6902901,5.913664501,78.06639649,71.3,Whole Year ,1500,maize
76,44,17,20.41683147,62.5542482,5.855442401,65.27798457,30,Whole Year ,240,maize
67,60,25,24.92162194,66.78627406,5.750254943,109.2162279,255,Whole Year ,1420,maize
70,44,19,23.31689124,73.4541537,5.852607099,94.29712821,68,Whole Year ,408,maize
90,49,21,24.84016732,68.3584573,6.472523287,74.05474936,6791,Autumn     ,20118,maize
62,52,16,22.27526694,58.84015925,6.967057762,63.87020584,73.33,Autumn     ,889.2,maize
92,44,16,18.87751445,65.76816093,6.082973754,94.76189431,1296,Rabi       ,2290,maize
66,54,21,25.19008683,60.2001687,5.919045532,72.12375573,294.5,Rabi       ,90.8,maize
63,58,22,18.25405352,55.28220433,6.204747653,63.72358154,168,Rabi       ,13.5,maize
70,47,17,24.6129118,70.4162444,6.600827017,104.1626147,84.5,Rabi       ,39,maize
61,41,17,25.1420613,65.26185135,6.021902237,76.68456006,254,Rabi       ,402,maize
66,53,19,23.09348056,60.1159381,6.033550195,65.49730729,110,Rabi       ,1011.84,maize
74,55,19,18.05033737,62.89366992,6.28886807,84.23613484,4.75,Rabi       ,6.8,maize
77,57,21,24.9321581,73.80435276,6.550563823,79.74078719,86.7,Rabi       ,96.4,maize
99,50,15,18.14710054,71.09445342,5.573286437,88.07753741,1168.6,Rabi       ,556.55,maize
74,56,22,18.28362235,66.65952796,6.829199275,80.97573281,2.9,Rabi       ,1.9,maize
83,45,21,18.83344471,58.75082029,5.716222912,79.7532896,109,Rabi       ,480,maize
100,48,16,25.71895816,67.22190688,5.54990242,74.51490791,68,Rabi       ,376.5,maize
79,51,16,25.33797709,68.49835977,6.586244581,96.46380213,1059.5,Rabi       ,458.79,maize
94,39,18,23.89114571,57.48775781,5.893093135,102.8301942,657,Whole Year ,7968,maize
75,49,15,21.53574127,71.50905983,5.918263801,102.4852929,3668,Whole Year ,12700000,maize
78,48,22,23.08974909,63.10459626,5.588650585,70.43473609,186.5,Whole Year ,1355,maize
87,54,20,25.61707368,63.4711755,6.576418207,108.8303762,10695.8,Kharif     ,31600.82,maize
87,35,25,21.44526922,63.1621551,6.178056304,65.88951188,3105,Whole Year ,5267,maize
63,43,19,18.51816776,55.53128131,6.641906353,90.988051,1524,Whole Year ,10882,maize
84,57,25,22.53510514,67.99257471,6.489040367,64.40866039,487,Whole Year ,102.5,maize
64,35,23,23.02038334,61.89472002,5.680361038,63.03843397,81,Whole Year ,24,maize
60,46,22,24.89364635,65.61418761,6.625404348,87.9298085,7060,Whole Year ,26830000,maize
98,44,21,25.77175115,74.089114,6.524478032,107.4931917,239,Whole Year ,20.9,maize
75,56,18,19.39851734,62.35750641,5.696205468,60.95197486,352,Whole Year ,1145,maize
86,55,21,21.54156232,59.64024162,6.803931519,109.7515385,85.1,Whole Year ,40.31,maize
98,35,18,23.79746068,74.82913698,6.252797548,91.76337172,455,Whole Year ,13760,maize
76,57,18,18.9802729,74.52600826,6.092725883,94.26249353,10509.37,Kharif     ,30760.7,maize
99,56,17,24.10859207,73.13112261,6.234330356,71.07562236,3118,Whole Year ,5182,maize
60,44,23,24.7947077,70.04556743,5.722579819,76.72860067,1530,Whole Year ,11558,maize
74,48,17,21.63162756,60.27766379,6.430616465,69.21803098,497,Whole Year ,104.37,maize
89,60,17,25.37548751,57.21025565,5.983952675,101.7004306,116.5,Whole Year ,26.14,maize
69,51,23,22.21738222,72.85462807,6.80163854,106.6213157,7110,Whole Year ,26660000,maize
96,46,22,20.58314011,69.00128641,6.499936446,66.29390357,340,Whole Year ,578,maize
61,60,15,24.87502824,68.74248334,6.265564338,91.26056654,406,Whole Year ,1299.2,maize
74,58,18,20.03728219,56.35606753,6.727303282,109.024141,82.09,Whole Year ,35.51,maize
74,43,23,25.95263264,61.89082199,6.325235159,99.57981207,268,Whole Year ,2879.52,maize
63,43,17,19.28889933,65.47050802,6.807487794,71.3195307,10681.98,Kharif     ,29119.66,maize
99,36,20,20.57981887,65.34583901,6.671085817,78.34604471,3160.67,Whole Year ,3975.2,maize
77,36,23,24.71417533,56.73426469,6.648725327,88.45361858,1912.1,Whole Year ,17374.4,maize
87,60,23,20.27317074,63.91281869,6.439071996,62.50351892,570,Whole Year ,104.36,maize
60,38,17,18.41932981,64.23580251,6.474476516,76.41312437,116.5,Whole Year ,25.1,maize
94,54,17,23.39128187,61.74427165,5.871647806,107.3198135,7156.7,Whole Year ,34750000,maize
95,38,22,19.84939404,61.24500053,5.730617109,100.7689246,340,Whole Year ,822.8,maize
84,44,21,21.869274,61.91044947,5.850439831,107.2681929,410,Whole Year ,1462,maize
77,58,19,22.8056033,56.50768935,5.791649933,101.5952794,89.3,Whole Year ,46.5,maize
66,44,20,19.0781471,69.02298571,6.740000688,80.72515943,145.26,Whole Year ,1560,maize
63,35,16,22.02720976,65.35549924,6.272417541,83.73280082,8683.38,Kharif     ,25870.98,maize
79,45,20,23.80546189,59.24537979,5.715208817,89.9622014,3250.78,Whole Year ,3058.46,maize
72,60,25,18.52510753,69.0276233,5.773454729,88.10234397,1656.8,Whole Year ,10251.13,maize
67,51,24,23.50297882,61.32026065,5.584171461,64.77791424,656.45,Whole Year ,35.95,maize
86,36,24,26.54986394,72.89187265,5.787268394,73.33636055,118.5,Whole Year ,30.22,maize
76,48,18,19.29563411,69.63481219,5.77597783,83.21030571,7050.45,Whole Year ,26430000,maize
75,53,18,20.68899915,59.4375337,6.864793607,103.651438,370.7,Whole Year ,877.6,maize
81,45,23,19.32666088,68.034493,6.192360003,84.22969177,200,Whole Year ,1800,maize
73,45,21,24.60532218,73.58868502,6.636803223,96.59195302,53.55,Whole Year ,34.2,maize
71,35,24,22.27373646,59.52193158,5.826426917,67.96704792,128.02,Whole Year ,2448.2,maize
96,54,22,25.70196694,61.33450447,6.960358276,83.20711308,131.9,Whole Year ,700.35,maize
99,39,18,19.20129357,68.30578978,6.11275104,87.85092352,254.5,Whole Year ,1480,maize
62,48,20,21.70181447,60.47470519,6.708446922,95.71388473,81.7,Whole Year ,572,maize
86,37,16,20.51716779,59.21235483,5.561510732,67.61013737,921.87,Kharif     ,2539.64,maize
94,50,19,23.30355338,73.62548442,5.873242491,97.59081274,2000,Whole Year ,2350,maize
76,39,24,24.2547451,55.64709899,6.995843776,64.23845455,483,Whole Year ,4150,maize
77,52,17,24.86374934,65.7420046,5.714799723,75.82270467,413.1,Whole Year ,20.18,maize
74,39,23,22.6265115,65.77472881,6.78073637,88.17251033,79.5,Whole Year ,26,maize
81,49,20,18.04185513,60.61494304,5.513697923,104.2321615,3483.09,Whole Year ,14190000,maize
63,42,21,23.26237612,72.33125523,5.798423908,67.10225139,124.6,Whole Year ,34.7,maize
99,38,21,22.88330922,71.59722446,6.352471866,67.72777298,100.9,Whole Year ,900,maize
90,52,25,25.97482359,69.36385721,6.822586546,103.2234212,24,Whole Year ,14.98,maize
68,40,19,26.14384005,66.20569924,6.655426355,107.2361366,53.5,Whole Year ,999.5,maize
60,57,24,18.66116213,61.55327249,6.121294041,75.03247667,30.4,Whole Year ,220,maize
71,52,18,25.10787449,55.97732754,5.790770203,78.16077693,40,Whole Year ,160,maize
61,59,17,23.33844615,59.24580604,6.47444292,105.0083144,10,Whole Year ,60,maize
88,38,15,25.08239719,65.92195844,6.455116637,62.49190812,1595.5,Autumn     ,3788,maize
65,60,22,25.36768364,72.52054555,6.606984086,107.9124111,67.5,Autumn     ,402,maize
78,37,22,25.34217103,63.31801994,6.330554389,74.52082026,1912,Rabi       ,1900,maize
78,58,15,25.00933355,67.816568,6.528631266,62.91359494,20.5,Rabi       ,13.2,maize
92,60,23,18.66746724,71.516474,5.721667141,69.93293255,409,Rabi       ,98,maize
79,59,17,20.37999665,63.73849998,6.644205485,108.5054416,15,Rabi       ,10.5,maize
91,55,15,18.09300227,72.61024172,6.376651091,78.96159541,128,Rabi       ,148,maize
76,51,18,26.16985907,71.96246617,6.247040422,79.84925393,94,Rabi       ,828.52,maize
87,48,25,18.65396672,61.37879671,6.656730008,93.62039175,15.5,Rabi       ,7.6,maize
71,60,22,26.07470121,59.37147589,6.2048017,85.75692395,73,Rabi       ,253,maize
90,57,24,18.92851916,72.80086137,6.158860284,82.34162918,29.9,Rabi       ,17.85,maize
67,35,22,23.30546753,63.24648023,6.385684214,108.7603001,1,Rabi       ,0.5,maize
60,54,19,18.74826712,62.49878458,6.417820493,70.23401597,32,Rabi       ,235,maize
83,58,23,19.74213321,59.66263104,6.381201909,65.50861389,10,Rabi       ,105,maize
83,57,19,25.73044432,70.74739256,6.877869005,98.73771338,34,Rabi       ,15.05,maize
40,72,77,17.02498456,16.98861173,7.485996067,88.55123143,360,Whole Year ,5517,chickpea
23,72,84,19.02061277,17.13159126,6.920251378,79.92698081,3540,Whole Year ,11000000,chickpea
39,58,85,17.88776475,15.40589717,5.996932037,68.54932919,22.5,Whole Year ,220,chickpea
22,72,85,18.86805647,15.65809214,6.391173589,88.51048983,21400,Kharif     ,2600,chickpea
36,67,77,18.36952567,19.56381041,7.152811172,79.26357665,1400,Kharif     ,500,chickpea
32,73,81,20.45078582,15.40312102,5.988992796,92.68373702,1000,Kharif     ,100,chickpea
58,70,84,20.6543203,16.60820843,6.231049028,74.6631118,7300,Kharif     ,9400,chickpea
59,70,84,17.3348681,18.74926979,7.550808267,82.61734721,3700,Kharif     ,7100,chickpea
42,62,75,18.17912258,18.90426935,7.010570541,81.84997529,650800,Kharif     ,228400,chickpea
28,74,81,18.01272266,18.30968112,8.753795334,81.98568791,3300,Kharif     ,1000,chickpea
58,66,79,20.99373558,19.33470387,8.718192847,93.55280105,10100,Kharif     ,10200,chickpea
43,66,79,19.46233971,15.22538951,7.976607593,74.58565097,2200,Kharif     ,700,chickpea
58,63,81,19.81344531,14.69765308,6.515499549,78.96514709,2800,Kharif     ,4900,chickpea
23,62,85,18.97424756,19.5161216,8.490127142,80.7108745,1300,Kharif     ,500,chickpea
27,62,77,18.19737048,14.71070537,6.576415562,70.18185181,800,Kharif     ,100,chickpea
28,72,84,18.72963144,19.18197264,6.481783043,71.58010169,6700,Kharif     ,11800,chickpea
50,56,76,20.99502153,19.8601304,7.966605025,73.50734019,35600,Kharif     ,75400,chickpea
39,71,84,20.28155898,16.39535215,8.140825437,82.52339655,700,Kharif     ,72900,chickpea
25,78,76,17.48042641,15.7559405,7.228963452,66.96980581,35900,Kharif     ,11100,chickpea
31,70,77,20.88818675,14.32313811,6.492546046,90.46228334,200,Kharif     ,200,chickpea
26,80,83,17.08498521,16.14565756,7.528599957,71.31007253,100,Rabi       ,100,chickpea
25,68,77,20.09340593,15.11279612,7.701446446,85.74904898,28000,Rabi       ,14800,chickpea
31,78,76,17.57212145,14.99927489,8.519975748,89.31050665,20200,Rabi       ,21700,chickpea
60,68,83,19.12065218,18.43475844,6.620900869,85.52950164,600,Rabi       ,200,chickpea
59,62,83,18.57665902,19.22008229,8.104396058,72.94940441,18800,Rabi       ,9400,chickpea
22,67,78,17.16606398,14.42457525,6.204090835,72.32667516,100,Rabi       ,100,chickpea
36,65,80,18.2872007,16.67921616,6.051091339,74.87445574,600,Rabi       ,2400,chickpea
59,60,84,19.03025305,18.66725565,7.690962338,94.70992037,600,Rabi       ,1000,chickpea
54,77,85,17.1418614,17.0662427,7.829211144,83.74606679,18000,Rabi       ,37300,chickpea
43,68,81,17.47809436,17.93253975,6.761599706,78.92060234,30100,Rabi       ,11100,chickpea
28,76,82,20.56601874,14.25803981,6.654425315,83.75937135,300,Rabi       ,200,chickpea
42,79,85,17.22385224,15.82069268,6.129533877,76.57580954,27400,Kharif     ,9100,chickpea
32,60,83,19.69141713,19.44225438,8.829273328,91.76071648,2600,Kharif     ,1900,chickpea
22,78,76,17.84851658,19.09172907,8.621662982,76.32470713,3200,Kharif     ,1000,chickpea
31,79,75,18.8202251,16.1074793,8.204862075,89.73119396,14000,Kharif     ,12900,chickpea
28,58,81,17.47500984,16.54314829,6.18042747,93.35034262,4000,Kharif     ,10000,chickpea
57,58,77,18.72649425,17.58406365,7.978996755,81.20176515,755200,Kharif     ,867800,chickpea
49,55,78,18.65580107,16.17772668,7.863113671,81.70769297,2300,Kharif     ,900,chickpea
46,76,77,18.2356751,19.68538502,6.967843048,83.74879344,3700,Kharif     ,5800,chickpea
54,61,77,18.81198127,15.21618225,6.206582193,77.5429424,4600,Kharif     ,3400,chickpea
38,60,76,18.65054116,17.80852431,8.868741443,77.92798682,3300,Kharif     ,6700,chickpea
59,55,79,20.36720401,16.89574311,8.766128654,82.2545577,2100,Kharif     ,1300,chickpea
36,76,75,18.38120357,16.63805158,8.736337905,70.52056697,2000,Kharif     ,300,chickpea
57,68,81,17.17012591,17.30457712,8.081095263,72.78624223,7000,Kharif     ,14900,chickpea
35,66,81,19.37101121,15.77458129,6.138243973,85.24819851,38300,Kharif     ,96800,chickpea
35,64,78,17.92845928,14.27327988,7.496645259,85.37378769,21300,Kharif     ,12200,chickpea
52,60,79,19.45339934,18.23490739,8.380185271,75.6317566,200,Rabi       ,200,chickpea
27,76,83,19.12829388,14.92241479,6.289614016,89.61857826,26200,Rabi       ,25900,chickpea
57,60,84,19.1034283,17.26184541,6.586777189,75.49101167,25900,Rabi       ,35800,chickpea
52,68,78,17.48504075,16.96070581,6.89655198,86.05078037,700,Rabi       ,500,chickpea
43,79,79,19.40751744,18.98030507,7.806747656,80.25064637,14800,Rabi       ,22100,chickpea
44,74,85,20.18649426,19.63719995,7.150681303,78.26039559,300,Rabi       ,1600,chickpea
24,55,78,17.30287885,15.15405941,6.64919573,75.57790384,700,Rabi       ,1200,chickpea
29,77,75,17.50361137,15.48083156,7.778591618,72.9446671,26600,Rabi       ,63900,chickpea
20,60,78,18.17234999,14.70085967,6.358740355,90.7760707,13500,Rabi       ,3300,chickpea
56,67,78,17.57445618,16.71826572,8.255450758,77.81891424,400,Rabi       ,200,chickpea
37,66,85,20.93175255,18.91295403,6.456148474,78.06910795,700,Whole Year ,65900,chickpea
49,71,76,19.71098332,17.63879418,6.613072145,85.57925437,100,Whole Year ,100,chickpea
59,69,80,19.07937684,17.86754927,8.165359297,69.40619137,1635,Kharif     ,889,chickpea
20,79,77,18.54988627,16.02542689,7.64867466,76.32565249,1880,Kharif     ,355,chickpea
24,56,85,18.19903647,17.41333199,6.545888558,80.6405403,9453,Kharif     ,10510,chickpea
51,72,75,18.88852533,14.99451145,7.104224797,80.1113384,694865,Kharif     ,249457,chickpea
57,73,85,18.49311205,14.72115044,7.358099622,91.94595352,1762,Kharif     ,495,chickpea
22,64,82,19.48974337,17.17260319,6.4740245,87.51312796,11131,Kharif     ,14582,chickpea
52,73,79,17.25769499,18.74943955,7.840339389,94.00287214,3358,Kharif     ,9540,chickpea
29,75,75,19.62416326,18.71483156,7.064790365,88.4585692,23117,Kharif     ,3861,chickpea
44,59,78,20.67526473,19.85388984,7.599033472,84.78344008,1546,Kharif     ,1098,chickpea
41,69,82,20.02381489,16.63294455,6.715587232,68.97806542,6215,Kharif     ,11467,chickpea
52,56,85,20.1187446,14.44228303,6.81712422,88.68168643,37991,Kharif     ,105082,chickpea
34,76,80,20.65691793,15.84572566,7.985417393,65.23811143,8,Kharif     ,2,chickpea
42,74,83,19.2582557,14.2804191,7.545258424,65.78042032,4,Kharif     ,2,chickpea
34,71,79,17.927806,15.85622899,7.728998197,74.63872762,99,Rabi       ,54,chickpea
27,73,79,19.16288268,15.83500655,7.354973451,82.69766829,26835,Rabi       ,9365,chickpea
30,70,79,20.26942271,19.96978871,7.313122235,69.64449182,21785,Rabi       ,25358,chickpea
57,57,75,17.09104223,18.25142068,7.785039076,87.27444866,1071,Rabi       ,327,chickpea
27,79,82,17.06579293,17.54024066,6.307004923,70.87150577,21487,Rabi       ,30576,chickpea
32,71,85,20.62767492,14.44008871,6.403982316,92.06630306,12,Rabi       ,1,chickpea
31,76,82,20.8248451,17.85057083,7.599279991,79.20509212,455,Rabi       ,2203,chickpea
33,75,84,19.46210401,18.72831993,7.217018459,68.81405149,98,Rabi       ,10,chickpea
47,80,77,17.18248372,16.42891834,7.561108006,72.85017344,1,Rabi       ,1,chickpea
54,62,80,17.48911699,16.39055394,7.489545074,79.45758333,734,Rabi       ,1180,chickpea
47,79,78,17.48395377,14.76014523,6.609696734,65.11365631,20258,Rabi       ,45669,chickpea
35,57,83,19.48316794,17.44534641,7.476800943,80.4986291,881,Rabi       ,145,chickpea
53,73,77,19.71359733,18.09665739,7.325451279,73.64476535,10,Rabi       ,2,chickpea
45,61,78,19.48649305,16.06240074,6.489389282,81.5284269,439,Rabi       ,294,chickpea
37,78,79,19.95264829,14.82633099,7.786366322,88.6810311,5199,Whole Year ,5759,chickpea
30,75,81,19.41789736,16.80472243,6.408437886,68.4951189,1770,Whole Year ,32364,chickpea
37,55,82,19.45591848,18.02235902,8.423873703,78.44910564,884,Whole Year ,83126,chickpea
53,65,76,20.19137759,16.41998269,8.719960893,77.33795356,30693,Kharif     ,7888,chickpea
22,60,85,18.8392908,14.74071856,7.811997977,94.78189594,2477,Kharif     ,1449,chickpea
60,61,78,20.71219282,19.83643308,6.317153205,94.03659867,9315,Kharif     ,2831,chickpea
42,67,77,18.99424448,15.9362937,7.114405288,78.69707199,12025,Kharif     ,16128,chickpea
39,76,76,19.96837462,15.57324389,8.135900726,69.15759062,3755,Kharif     ,10146,chickpea
35,63,76,17.81564548,17.60756635,7.714153038,90.82097601,21,Kharif     ,14,chickpea
30,65,82,20.71424384,15.27824066,7.103798069,76.77888672,791559,Kharif     ,884963,chickpea
57,56,78,17.34150229,18.75626255,8.861479668,67.9545435,601,Kharif     ,215,chickpea
48,65,78,17.43732714,14.33847406,7.861128148,73.0926704,5071,Kharif     ,14351,chickpea
36,56,83,18.89780215,19.76182946,7.4526709,69.09512477,1626,Kharif     ,1143,chickpea
